NST data,,HESE data,,Glashow,,K3,
X,Y,X,Y,X,Y,X,Y
39550.902511290034,2.2153113306466664e-8,61094.305060530234,7.0762830195933585e-9,6376663.6632532105,1.8997046233257713e-9,220505595.02262655,5.813721394702033e-8
273368.2584626408,1.2035311654334462e-8,128854.15651478841,2.1392356299873302e-8,6376663.6632532105,1.3204224671841646e-8,220505595.02262655,1.5862467969045574e-7
1900604.373938025,3.2916675141867816e-9,270174.39348885475,1.7315428036335609e-9,6376663.663253197,1.0970742083984377e-9,220505595.02262655,2.1125738067042664e-8
22423887.219075136,4.073709361271261e-9,566486.9870821198,8.639203656474154e-10,5669627.188070893,1.899823456316643e-9,72627481.48528095,5.7674674156106565e-8
39550.902511289954,2.940259003106962e-8,1201820.4556918186,6.158912357806227e-9,7171871.822508492,1.8995857977678498e-9,2586347281.041167,5.8061077767891914e-8
273368.2584626408,1.517237143036226e-8,2505148.0330712255,1.6147756115372457e-9,,,,
1900604.373938025,5.460559250603199e-9,5283614.183453852,6.22841914553781e-10,,,,
22423887.219075136,4.073709361271261e-9,60736.362533496846,1.8816799091452024e-8,,,,
39550.902511289954,1.4302760474599203e-8,128099.21900701313,2.6738086529804363e-8,,,,
273368.2584626408,8.990435688309582e-9,270174.39348885475,5.103660957519031e-9,,,,
1900604.373938025,1.495009592599561e-9,566486.987082121,3.843791765554738e-9,,,,
22423887.219075136,3.7839754690602563e-10,1201820.4556918088,1.0217042184280827e-8,,,,
15088.168634124864,2.2164479037405365e-8,2505148.0330712153,5.1858337501979915e-9,,,,
103675.53063528544,1.214527186402516e-8,5283614.183453852,6.22841914553781e-10,,,,
720808.5097513178,3.2933666157472296e-9,61094.305060530234,8.784052266967317e-12,,,,
5011451.637104854,4.076959566496898e-9,128854.15651478841,1.6680571778228343e-8,,,,
99748484.70279807,4.105545016481838e-9,268591.4815456008,9.400671615029511e-12,,,,
,,566486.9870821198,9.316667518754687e-12,,,,
,,1194779.1668102285,3.1542372339920885e-9,,,,
,,2505148.0330712153,9.30929838098475e-12,,,,
,,5314752.5350739695,5.735997607914888e-11,,,,
,,41944.58504398096,7.077699582951807e-9,,,,
,,88465.43259392412,2.1396638721591183e-8,,,,
,,186582.6722525458,1.73188401535166e-9,,,,
,,391216.408339733,8.71535469302079e-10,,,,
,,825115.5367332011,6.160145277624415e-9,,,,
,,1730057.420922528,1.61509381352429e-9,,,,
,,3648868.5725168027,6.229646495848339e-10,,,,
,,7695838.125650857,6.227172561073575e-10,,,,
